"county","year","cases","population"
"Holmes",1979,4,29529
"Huron",1979,26,54590
"Jackson",1979,21,30378
"Jefferson",1979,57,91052
"Knox",1979,25,46692
"Lake",1979,87,212405
"Lawrence",1979,35,63166
"Licking",1979,57,119933
"Logan",1979,11,38867
"Lorain",1979,121,273049
"Lucas",1979,280,472282
"Madison",1979,10,32470
"Mahoning",1979,137,289471
"Marion",1979,25,67209
"Medina",1979,27,111242
"Meigs",1979,19,22959
"Mercer",1979,16,38326
"Miami",1979,44,90353
"Monroe",1979,7,17119
"Montgomery",1979,259,572382
"Morgan",1979,7,13907
"Morrow",1979,9,26957
"Muskingum",1979,49,83311
"Noble",1979,6,11162
"Ottawa",1979,10,40552
"Paulding",1979,13,21259
"Perry",1979,10,30910
"Pickaway",1979,27,44077
"Pike",1979,8,22397
"Portage",1979,38,134256
"Preble",1979,13,37848
"Putnam",1979,11,34357
"Richland",1979,45,130231
"Ross",1979,27,64850
"Sandusky",1979,23,63737
"Scioto",1979,41,84442
"Seneca",1979,19,62674
"Shelby",1979,9,43056
"Stark",1979,182,377507
"Summit",1979,247,526662
"Trumbull",1979,91,241424
"Tuscarawas",1979,28,84041
"Union",1979,4,29408
"Van Wert",1979,9,30443
"Vinton",1979,6,11338
"Warren",1979,43,98221
"Washington",1979,20,63759
"Wayne",1979,36,97328
"Williams",1979,10,36083
"Wood",1979,28,106035
"Wyandot",1979,7,22804
"Adams",1980,14,24305
"Allen",1980,46,111850
"Ashland",1980,22,46121
"Ashtabula",1980,58,103685
"Athens",1980,25,56429
"Auglaize",1980,17,42491
"Belmont",1980,54,82246
"Brown",1980,21,31977
"Butler",1980,135,258877
"Carroll",1980,7,25491
"Champaign",1980,17,33544
"Clark",1980,99,149783
"Clermont",1980,62,128713
"Clinton",1980,11,34535
"Columbiana",1980,51,113124
"Coshocton",1980,22,35958
"Crawford",1980,28,49919
"Cuyahoga",1980,917,1491686
"Darke",1980,18,54782
"Defiance",1980,12,39768
"Delaware",1980,17,53872
"Erie",1980,41,79327
"Fairfield",1980,33,93630
"Fayette",1980,14,27322
"Franklin",1980,402,868797
"Fulton",1980,9,37676
"Gallia",1980,15,30051
"Geauga",1980,22,74242
"Greene",1980,44,129421
"Guernsey",1980,22,41935
"Hamilton",1980,583,871090
"Hancock",1980,29,64375
"Hardin",1980,18,32593
"Harrison",1980,8,17987
"Henry",1980,7,28277
"Highland",1980,25,33506
"Hocking",1980,14,24234
"Holmes",1980,3,29388
"Huron",1980,25,54519
"Jackson",1980,22,30481
"Jefferson",1980,55,91051
"Knox",1980,15,46228
"Lake",1980,101,212138
"Lawrence",1980,39,63644
"Licking",1980,69,121054
"Logan",1980,19,39069
"Lorain",1980,115,273724
"Lucas",1980,243,470235
"Madison",1980,10,33024
"Mahoning",1980,142,288040
"Marion",1980,27,67657
"Medina",1980,38,112964
"Meigs",1980,12,23529
"Mercer",1980,12,38226
"Miami",1980,48,90168
"Monroe",1980,4,17287
"Montgomery",1980,314,570223
"Morgan",1980,8,14190
"Morrow",1980,16,26419
"Muskingum",1980,54,83215
"Noble",1980,3,11273
"Ottawa",1980,15,39955
"Paulding",1980,11,21191
"Perry",1980,21,31000
"Pickaway",1980,23,43432
"Pike",1980,14,22908
"Portage",1980,37,135770
"Preble",1980,24,38066
"Putnam",1980,13,32962
"Richland",1980,62,130722
"Ross",1980,23,64945
"Sandusky",1980,27,63026
"Scioto",1980,54,84244
"Seneca",1980,30,61590
"Shelby",1980,19,43034
"Stark",1980,197,377634
"Summit",1980,277,522227
"Trumbull",1980,114,241115
"Tuscarawas",1980,36,84476
"Union",1980,17,29528
"Van Wert",1980,13,30321
"Vinton",1980,5,11502
"Warren",1980,33,99196
"Washington",1980,26,64064
"Wayne",1980,27,97179
"Williams",1980,17,36296
"Wood",1980,32,107345
"Wyandot",1980,7,22618
"Adams",1981,12,24661
"Allen",1981,53,111763
"Ashland",1981,18,46445
"Ashtabula",1981,56,103457
"Athens",1981,33,57108
"Auglaize",1981,20,42760
"Belmont",1981,64,82242
"Brown",1981,12,32666
"Butler",1981,129,262312
"Carroll",1981,12,25647
"Champaign",1981,14,33476
"Clark",1981,80,149646
"Clermont",1981,71,131621
"Clinton",1981,16,34610
"Columbiana",1981,63,113142
"Coshocton",1981,13,36247
"Crawford",1981,21,49919
"Cuyahoga",1981,913,1481287
"Darke",1981,18,54469
"Defiance",1981,13,39635
"Delaware",1981,10,54737
"Erie",1981,32,79260
"Fairfield",1981,38,95011
"Fayette",1981,22,27239
"Franklin",1981,431,877791
"Fulton",1981,15,37857
"Gallia",1981,17,30164
"Geauga",1981,29,74526
"Greene",1981,44,129915
"Guernsey",1981,24,41993
"Hamilton",1981,542,871895
"Hancock",1981,22,64665
"Hardin",1981,15,32575
"Harrison",1981,12,17721
"Henry",1981,13,28150
"Highland",1981,13,34009
"Hocking",1981,14,24292
"Holmes",1981,8,29902
"Huron",1981,28,54706
"Jackson",1981,12,30290
"Jefferson",1981,68,90572
"Knox",1981,22,46575
"Lake",1981,83,213482
"Lawrence",1981,26,63682
"Licking",1981,72,122894
"Logan",1981,31,39268
"Lorain",1981,110,273797
"Lucas",1981,282,469879
"Madison",1981,13,33544
"Mahoning",1981,159,286390
"Marion",1981,36,67577
"Medina",1981,40,114372
"Meigs",1981,14,23561
"Mercer",1981,15,38352
"Miami",1981,37,90442
"Monroe",1981,7,17127
"Montgomery",1981,306,569946
"Morgan",1981,8,14220
"Morrow",1981,16,26787
"Muskingum",1981,59,83731
"Noble",1981,2,11253
"Ottawa",1981,21,40112
"Paulding",1981,15,21137
"Perry",1981,15,31387
"Pickaway",1981,15,43347
"Pike",1981,10,23697
"Portage",1981,49,137532
"Preble",1981,13,38079
"Putnam",1981,14,33320
"Richland",1981,66,130776
"Ross",1981,33,65570
"Sandusky",1981,23,62764
"Scioto",1981,38,84068
"Seneca",1981,17,61206
"Shelby",1981,21,43481
"Stark",1981,183,378207
"Summit",1981,253,520096
"Trumbull",1981,112,241243
"Tuscarawas",1981,40,85085
"Union",1981,9,29843
"Van Wert",1981,12,30211
"Vinton",1981,7,11380
"Warren",1981,37,100297
"Washington",1981,34,64320
"Wayne",1981,28,97997
"Williams",1981,23,36380
"Wood",1981,30,108890
"Wyandot",1981,11,22581
"Adams",1982,15,24644
"Allen",1982,47,109920
"Ashland",1982,20,46361
"Ashtabula",1982,53,102783
"Athens",1982,24,57205
"Auglaize",1982,23,42881
"Belmont",1982,47,81885
"Brown",1982,22,32994
"Butler",1982,138,262237
"Carroll",1982,14,25791
"Champaign",1982,20,33599
"Clark",1982,88,148059
"Clermont",1982,59,133244
"Clinton",1982,15,34500
"Columbiana",1982,64,113158
"Coshocton",1982,13,36175
"Crawford",1982,37,49385
"Cuyahoga",1982,909,1470321
"Darke",1982,23,53558
"Defiance",1982,12,39059
"Delaware",1982,24,55411
"Erie",1982,36,78345
"Fairfield",1982,48,95235
"Fayette",1982,15,27309
"Franklin",1982,451,881702
"Fulton",1982,8,37725
"Gallia",1982,12,29749
"Geauga",1982,36,74538
"Greene",1982,36,130247
"Guernsey",1982,31,41683
"Hamilton",1982,554,869976
"Hancock",1982,24,64954
"Hardin",1982,18,32234
"Harrison",1982,20,17548
"Henry",1982,12,28030
"Highland",1982,17,33801
"Hocking",1982,15,24096
"Holmes",1982,9,30094
"Huron",1982,23,54393
"Jackson",1982,19,30130
"Jefferson",1982,65,89957
"Knox",1982,27,47058
"Lake",1982,94,214460
"Lawrence",1982,45,62837
"Licking",1982,57,123706
"Logan",1982,24,39047
"Lorain",1982,136,273084
"Lucas",1982,277,467708
"Madison",1982,14,34021
"Mahoning",1982,163,283431
"Marion",1982,41,67242
"Medina",1982,36,114717
"Meigs",1982,12,23676
"Mercer",1982,14,38556
"Miami",1982,49,89984
"Monroe",1982,6,17000
"Montgomery",1982,325,566395
"Morgan",1982,4,14278
"Morrow",1982,6,26706
"Muskingum",1982,44,84417
"Noble",1982,5,11274
"Ottawa",1982,18,39774
"Paulding",1982,8,20879
"Perry",1982,25,31363
"Pickaway",1982,23,42900
"Pike",1982,10,24369
"Portage",1982,66,137343
"Preble",1982,21,37806
"Putnam",1982,9,33181
"Richland",1982,63,129579
"Ross",1982,28,65676
"Sandusky",1982,26,62244
"Scioto",1982,56,84267
"Seneca",1982,28,61064
"Shelby",1982,19,43502
"Stark",1982,188,377652
"Summit",1982,282,517163
"Trumbull",1982,111,239941
"Tuscarawas",1982,54,85280
"Union",1982,9,30303
"Van Wert",1982,17,29949
"Vinton",1982,7,11331
"Warren",1982,40,100896
"Washington",1982,30,64462
"Wayne",1982,30,98720
"Williams",1982,10,36036
"Wood",1982,30,109045
"Wyandot",1982,5,22490
"Adams",1983,9,24385
"Allen",1983,62,108996
"Ashland",1983,27,45994
"Ashtabula",1983,59,101750
"Athens",1983,21,57075
"Auglaize",1983,16,42689
"Belmont",1983,45,81984
"Brown",1983,27,32979
"Butler",1983,150,260641
"Carroll",1983,16,26085
"Champaign",1983,19,33324
"Clark",1983,73,147078
"Clermont",1983,51,133919
"Clinton",1983,19,34359
"Columbiana",1983,62,112319
"Coshocton",1983,18,36036
"Crawford",1983,21,48614
"Cuyahoga",1983,940,1468625
"Darke",1983,23,53482
"Defiance",1983,10,38575
"Delaware",1983,27,55729
"Erie",1983,40,77417
"Fairfield",1983,53,94742
"Fayette",1983,15,27539
"Franklin",1983,478,884464
"Fulton",1983,16,37713
"Gallia",1983,15,29783
"Geauga",1983,25,74379
"Greene",1983,57,129412
"Guernsey",1983,32,41424
"Hamilton",1983,568,865196
"Hancock",1983,41,64890
"Hardin",1983,25,31687
"Harrison",1983,22,17392
"Henry",1983,2,28166
"Highland",1983,24,33687
"Hocking",1983,15,24433
"Holmes",1983,5,30268
"Huron",1983,18,54354
"Jackson",1983,14,30319
"Jefferson",1983,54,88025
"Knox",1983,28,47031
"Lake",1983,114,213837
"Lawrence",1983,36,62890
"Licking",1983,68,123486
"Logan",1983,24,39195
"Lorain",1983,125,270924
"Lucas",1983,292,465203
"Madison",1983,24,34529
"Mahoning",1983,148,282781
"Marion",1983,37,66734
"Medina",1983,34,114761
"Meigs",1983,9,23545
"Mercer",1983,14,38447
"Miami",1983,63,89072
"Monroe",1983,7,16784
"Montgomery",1983,345,562384
"Morgan",1983,7,14169
"Morrow",1983,13,26522
"Muskingum",1983,59,83777
"Noble",1983,5,11181
"Ottawa",1983,26,39655
"Paulding",1983,9,20806
"Perry",1983,20,31022
"Pickaway",1983,21,42300
"Pike",1983,20,24637
"Portage",1983,55,136635
"Preble",1983,27,37994
"Putnam",1983,13,33054
"Richland",1983,59,128264
"Ross",1983,34,66069
"Sandusky",1983,24,61803
"Scioto",1983,44,84723
"Seneca",1983,36,61109
"Shelby",1983,30,43020
"Stark",1983,206,375377
"Summit",1983,310,513708
"Trumbull",1983,133,237249
"Tuscarawas",1983,57,85237
"Union",1983,14,30167
"Van Wert",1983,13,29699
"Vinton",1983,13,11383
"Warren",1983,42,100762
"Washington",1983,32,64710
"Wayne",1983,30,98746
"Williams",1983,13,35859
"Wood",1983,44,107907
"Wyandot",1983,10,22396
"Adams",1984,12,24307
"Allen",1984,69,109889
"Ashland",1984,25,46286
"Ashtabula",1984,56,101440
"Athens",1984,38,57300
"Auglaize",1984,35,43300
"Belmont",1984,55,81017
"Brown",1984,24,33520
"Butler",1984,141,264820
"Carroll",1984,17,26433
"Champaign",1984,18,33390
"Clark",1984,87,146861
"Clermont",1984,75,135984
"Clinton",1984,17,34613
"Columbiana",1984,74,111641
"Coshocton",1984,15,36241
"Crawford",1984,26,49150
"Cuyahoga",1984,923,1463525
"Darke",1984,24,53819
"Defiance",1984,16,38388
"Delaware",1984,14,56528
"Erie",1984,42,77602
"Fairfield",1984,33,95254
"Fayette",1984,14,27463
"Franklin",1984,444,892418
"Fulton",1984,18,38099
"Gallia",1984,10,30048
"Geauga",1984,20,74485
"Greene",1984,50,128887
"Guernsey",1984,19,41246
"Hamilton",1984,642,865815
"Hancock",1984,27,65521
"Hardin",1984,15,31714
"Harrison",1984,7,16916
"Henry",1984,12,28320
"Highland",1984,24,34163
"Hocking",1984,18,24693
"Holmes",1984,6,30344
"Huron",1984,21,54922
"Jackson",1984,14,30322
"Jefferson",1984,68,87432
"Knox",1984,26,47170
"Lake",1984,103,213190
"Lawrence",1984,41,63224
"Licking",1984,84,123901
"Logan",1984,20,39586
"Lorain",1984,124,270238
"Lucas",1984,243,462892
"Madison",1984,20,34249
"Mahoning",1984,147,280329
"Marion",1984,26,66436
"Medina",1984,41,115305
"Meigs",1984,14,23616
"Mercer",1984,9,38570
"Miami",1984,39,89047
"Monroe",1984,7,16628
"Montgomery",1984,326,564438
"Morgan",1984,6,14185
"Morrow",1984,9,26756
"Muskingum",1984,62,84376
"Noble",1984,10,11226
"Ottawa",1984,25,39641
"Paulding",1984,11,20727
"Perry",1984,23,31451
"Pickaway",1984,24,42594
"Pike",1984,17,24867
"Portage",1984,65,136351
"Preble",1984,21,38712
"Putnam",1984,10,33436
"Richland",1984,66,129339
"Ross",1984,36,67414
"Sandusky",1984,25,62370
"Scioto",1984,70,84275
"Seneca",1984,39,61404
"Shelby",1984,23,43392
"Stark",1984,198,375402
"Summit",1984,302,512121
"Trumbull",1984,114,235835
"Tuscarawas",1984,37,85506
"Union",1984,11,30542
"Van Wert",1984,17,29900
"Vinton",1984,3,11552
"Warren",1984,42,101915
"Washington",1984,39,64559
"Wayne",1984,31,99318
"Williams",1984,17,36278
"Wood",1984,37,108497
"Wyandot",1984,16,22584
"Adams",1985,20,24423
"Allen",1985,53,110251
"Ashland",1985,34,46441
"Ashtabula",1985,56,101402
"Athens",1985,21,57435
"Auglaize",1985,22,43539
"Belmont",1985,44,79507
"Brown",1985,19,34218
"Butler",1985,139,267923
"Carroll",1985,11,26607
"Champaign",1985,19,33733
"Clark",1985,92,146733
"Clermont",1985,94,138164
"Clinton",1985,26,34600
"Columbiana",1985,65,110932
"Coshocton",1985,11,35813
"Crawford",1985,35,49086
"Cuyahoga",1985,937,1454155
"Darke",1985,37,53899
"Defiance",1985,12,39022
"Delaware",1985,24,57335
"Erie",1985,40,77340
"Fairfield",1985,54,96024
"Fayette",1985,16,27443
"Franklin",1985,524,898729
"Fulton",1985,9,38304
"Gallia",1985,6,30066
"Geauga",1985,20,74778
"Greene",1985,71,129445
"Guernsey",1985,22,40677
"Hamilton",1985,639,865708
"Hancock",1985,31,65895
"Hardin",1985,26,31718
"Harrison",1985,7,16653
"Henry",1985,23,28399
"Highland",1985,25,34315
"Hocking",1985,18,24579
"Holmes",1985,8,30647
"Huron",1985,21,54798
"Jackson",1985,15,30386
"Jefferson",1985,56,86569
"Knox",1985,26,47428
"Lake",1985,127,212139
"Lawrence",1985,37,62443
"Licking",1985,61,124548
"Logan",1985,25,39863
"Lorain",1985,124,269978
"Lucas",1985,308,462723
"Madison",1985,21,34634
"Mahoning",1985,183,278505
"Marion",1985,40,66009
"Medina",1985,45,115573
"Meigs",1985,17,23732
"Mercer",1985,15,38831
"Miami",1985,48,89093
"Monroe",1985,6,16397
"Montgomery",1985,341,565284
"Morgan",1985,11,14152
"Morrow",1985,12,26982
"Muskingum",1985,60,84206
"Noble",1985,9,11454
"Ottawa",1985,28,39743
"Paulding",1985,6,20787
"Perry",1985,23,31569
"Pickaway",1985,22,44926
"Pike",1985,8,25084
"Portage",1985,58,136172
"Preble",1985,22,38967
"Putnam",1985,12,33343
"Richland",1985,50,129228
"Ross",1985,29,67714
"Sandusky",1985,34,62081
"Scioto",1985,56,83197
"Seneca",1985,25,61772
"Shelby",1985,22,43753
"Stark",1985,205,374180
"Summit",1985,292,508637
"Trumbull",1985,139,234767
"Tuscarawas",1985,58,85504
"Union",1985,10,30877
"Van Wert",1985,13,29995
"Vinton",1985,6,11435
"Warren",1985,55,102771
"Washington",1985,27,64351
"Wayne",1985,46,100142
"Williams",1985,17,36594
"Wood",1985,55,109481
"Wyandot",1985,10,22645
"Adams",1986,12,24767
"Allen",1986,65,110745
"Ashland",1986,19,46030
"Ashtabula",1986,50,100011
"Athens",1986,15,57599
"Auglaize",1986,23,43653
"Belmont",1986,50,76752
"Brown",1986,23,34243
"Butler",1986,164,271033
"Carroll",1986,8,26566
"Champaign",1986,19,34301
"Clark",1986,95,146879
"Clermont",1986,80,140438
"Clinton",1986,19,34798
"Columbiana",1986,68,108259
"Coshocton",1986,28,35707
"Crawford",1986,30,48613
"Cuyahoga",1986,953,1453242
"Darke",1986,28,53468
"Defiance",1986,25,39062
"Delaware",1986,23,58857
"Erie",1986,43,77019
"Fairfield",1986,51,97550
"Fayette",1986,23,27422
"Franklin",1986,499,910990
"Fulton",1986,7,37761
"Gallia",1986,16,29918
"Geauga",1986,38,76348
"Greene",1986,50,130328
"Guernsey",1986,18,39672
"Hamilton",1986,572,873015
"Hancock",1986,33,65200
"Hardin",1986,19,31431
"Harrison",1986,16,16248
"Henry",1986,16,28232
"Highland",1986,19,34482
"Hocking",1986,10,24704
"Holmes",1986,9,30449
"Huron",1986,33,55313
"Jackson",1986,15,30086
"Jefferson",1986,71,83494
"Knox",1986,23,46995
"Lake",1986,111,212972
"Lawrence",1986,33,62212
"Licking",1986,76,124488
"Logan",1986,24,39848
"Lorain",1986,137,267556
"Lucas",1986,305,463303
"Madison",1986,12,35020
"Mahoning",1986,200,273796
"Marion",1986,50,64906
"Medina",1986,31,115314
"Meigs",1986,15,23659
"Mercer",1986,15,38450
"Miami",1986,47,89631
"Monroe",1986,6,15717
"Montgomery",1986,374,567113
"Morgan",1986,11,14072
"Morrow",1986,10,26987
"Muskingum",1986,45,83169
"Noble",1986,7,11272
"Ottawa",1986,14,39700
"Paulding",1986,11,20663
"Perry",1986,25,31592
"Pickaway",1986,23,45582
"Pike",1986,11,24595
"Portage",1986,44,136974
"Preble",1986,26,38674
"Putnam",1986,16,33324
"Richland",1986,79,127850
"Ross",1986,25,66928
"Sandusky",1986,33,61732
"Scioto",1986,71,81676
"Seneca",1986,31,61207
"Shelby",1986,21,43819
"Stark",1986,217,370686
"Summit",1986,293,507995
"Trumbull",1986,143,230959
"Tuscarawas",1986,49,84048
"Union",1986,14,31518
"Van Wert",1986,15,29521
"Vinton",1986,7,11511
"Warren",1986,40,104817
"Washington",1986,40,63672
"Wayne",1986,38,100282
"Williams",1986,13,36050
"Wood",1986,40,109355
"Wyandot",1986,11,22137
"Adams",1987,16,25234
"Allen",1987,69,111458
"Ashland",1987,28,46381
"Ashtabula",1987,53,99422
"Athens",1987,27,58292
"Auglaize",1987,19,43941
"Belmont",1987,62,76317
"Brown",1987,30,34894
"Butler",1987,159,276105
"Carroll",1987,19,26688
"Champaign",1987,11,34797
"Clark",1987,114,147227
"Clermont",1987,89,144116
"Clinton",1987,22,35401
"Columbiana",1987,67,108194
"Coshocton",1987,13,35845
"Crawford",1987,24,48652
"Cuyahoga",1987,952,1444257
"Darke",1987,28,53631
"Defiance",1987,16,39270
"Delaware",1987,28,59976
"Erie",1987,32,77036
"Fairfield",1987,54,99228
"Fayette",1987,17,27524
"Franklin",1987,488,921955
"Fulton",1987,16,38121
"Gallia",1987,19,30294
"Geauga",1987,28,76979
"Greene",1987,60,131924
"Guernsey",1987,33,39591
"Hamilton",1987,593,873976
"Hancock",1987,36,65449
"Hardin",1987,20,31740
"Harrison",1987,12,15659
"Henry",1987,9,28323
"Highland",1987,21,35147
"Hocking",1987,17,25080
"Holmes",1987,6,30399
"Huron",1987,23,55743
"Jackson",1987,26,30333
"Jefferson",1987,68,82533
"Knox",1987,27,47467
"Lake",1987,108,213431
"Lawrence",1987,46,62280
"Licking",1987,61,125243
"Logan",1987,30,40476
"Lorain",1987,136,268043
"Lucas",1987,290,463086
"Madison",1987,15,35418
"Mahoning",1987,163,272251
"Marion",1987,40,64974
"Medina",1987,40,116904
"Meigs",1987,19,23746
"Mercer",1987,12,38802
"Miami",1987,44,90178
"Monroe",1987,8,15471
"Montgomery",1987,361,569400
"Morgan",1987,13,14134
"Morrow",1987,14,27276
"Muskingum",1987,75,83458
"Noble",1987,2,11301
"Ottawa",1987,26,39622
"Paulding",1987,14,20920
"Perry",1987,14,31848
"Pickaway",1987,26,46021
"Pike",1987,13,24937
"Portage",1987,62,137565
"Preble",1987,18,39149
"Putnam",1987,14,33548
"Richland",1987,79,127937
"Ross",1987,36,67566
"Sandusky",1987,22,61805
"Scioto",1987,58,81663
"Seneca",1987,41,61623
"Shelby",1987,16,44076
"Stark",1987,244,369864
"Summit",1987,323,508761
"Trumbull",1987,146,229417
"Tuscarawas",1987,38,84202
"Union",1987,12,31967
"Van Wert",1987,17,29634
"Vinton",1987,9,11497
"Warren",1987,56,107392
"Washington",1987,40,63694
"Wayne",1987,45,101383
"Williams",1987,22,36448
"Wood",1987,45,109821
"Wyandot",1987,21,22214
"Adams",1988,15,25542
"Allen",1988,58,111868
"Ashland",1988,30,46508
"Ashtabula",1988,65,98559
"Athens",1988,24,58653
"Auglaize",1988,22,44194
"Belmont",1988,70,75003
"Brown",1988,23,35426
"Butler",1988,158,279860
"Carroll",1988,10,26710
"Champaign",1988,21,35193
"Clark",1988,105,147350
"Clermont",1988,75,146788
"Clinton",1988,24,35669
"Columbiana",1988,60,107217
"Coshocton",1988,19,35826
"Crawford",1988,31,48540
"Cuyahoga",1988,993,1438103
"Darke",1988,35,53598
"Defiance",1988,22,39484
"Delaware",1988,22,61171
"Erie",1988,54,76844
"Fairfield",1988,45,100459
"Fayette",1988,18,27600
"Franklin",1988,543,932817
"Fulton",1988,11,38171
"Gallia",1988,29,30450
"Geauga",1988,30,77823
"Greene",1988,52,132691
"Guernsey",1988,27,39132
"Hamilton",1988,576,876631
"Hancock",1988,29,65462
"Hardin",1988,21,31821
"Harrison",1988,14,15229
"Henry",1988,9,28357
"Highland",1988,24,35528
"Hocking",1988,12,25284
"Holmes",1988,8,30347
"Huron",1988,16,55976
"Jackson",1988,18,30357
"Jefferson",1988,77,81028
"Knox",1988,37,47638
"Lake",1988,147,213825
"Lawrence",1988,49,62066
"Licking",1988,81,125770
"Logan",1988,25,40795
"Lorain",1988,149,267355
"Lucas",1988,305,463044
"Madison",1988,16,35780
"Mahoning",1988,187,269911
"Marion",1988,55,64669
"Medina",1988,42,117582
"Meigs",1988,16,23791
"Mercer",1988,12,38915
"Miami",1988,42,90644
"Monroe",1988,11,15117
"Montgomery",1988,340,570927
"Morgan",1988,11,14109
"Morrow",1988,10,27478
"Muskingum",1988,66,83115
"Noble",1988,5,11276
"Ottawa",1988,26,39653
"Paulding",1988,9,20984
"Perry",1988,14,32010
"Pickaway",1988,27,46816
"Pike",1988,23,24979
"Portage",1988,55,138060
"Preble",1988,18,39301
"Putnam",1988,11,33659
"Richland",1988,67,127436
"Ross",1988,42,67612
"Sandusky",1988,32,61653
"Scioto",1988,67,80863
"Seneca",1988,40,61638
"Shelby",1988,22,44239
"Stark",1988,224,368326
"Summit",1988,337,508380
"Trumbull",1988,146,227250
"Tuscarawas",1988,51,83877
"Union",1988,6,32436
"Van Wert",1988,10,29566
"Vinton",1988,4,11493
"Warren",1988,59,109232
"Washington",1988,40,63446
"Wayne",1988,32,102027
"Williams",1988,17,36499
"Wood",1988,30,110065
"Wyandot",1988,16,22147
